City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Barrow,100,AR,1551281138,99,-38.31,-60.23,14.48,4.63
Ilulissat,5,GL,1551279000,52,69.22,-51.1,-8.0,0.5
Hithadhoo,68,MV,1551281128,100,-0.6,73.08,27.66,4.51
Quatre Cocos,75,MU,1551281041,74,-20.21,57.76,29.0,4.6
Bambous Virieux,75,MU,1551281041,74,-20.34,57.76,29.0,4.6
Antalya,75,TR,1551279000,37,36.9,30.69,13.0,9.8
Tuatapere,92,NZ,1551280805,78,-46.13,167.69,8.89,0.45
Kavieng,92,PG,1551281142,100,-2.57,150.8,25.23,3.68
Punta Alta,0,AR,1551279600,47,-27.46,-55.82,26.0,2.1
New Norfolk,0,AU,1551280641,81,-42.78,147.06,12.78,1.43
Bandarbeyla,0,SO,1551281143,100,9.49,50.81,25.48,1.88
Vaini,24,IN,1551281144,51,15.34,74.49,21.58,1.73
Saint-Philippe,1,CA,1551280661,50,45.36,-73.48,-13.89,1.0
Kyshtovka,92,RU,1551281166,87,56.56,76.62,-9.75,4.93
Rikitea,76,PF,1551281166,98,-23.12,-134.97,26.71,4.71
Oussouye,12,SN,1551279600,14,12.49,-16.54,34.0,5.1
Chapais,1,CA,1551279600,76,49.78,-74.86,-24.0,1.0
Chulman,20,RU,1551281167,59,56.84,124.9,-16.25,1.96
Ugra,88,RU,1551281167,81,54.78,34.32,-2.5,3.03
Alofi,64,NU,1551276000,83,-19.06,-169.92,27.0,5.7
Hobart,0,AU,1551280641,81,-42.88,147.33,12.78,2.06
Touros,40,BR,1551279600,62,-5.2,-35.46,32.0,6.2
Pisco,0,PE,1551279600,30,-13.71,-76.2,22.0,3.1
Shimoda,100,JP,1551281111,91,34.7,138.93,8.33,6.68
Ahipara,48,NZ,1551280668,100,-35.17,173.16,13.33,4.36
Dikson,48,RU,1551281010,89,73.51,80.55,-17.22,11.36
Brae,20,GB,1551279000,87,60.4,-1.35,9.0,3.1
Morondava,56,MG,1551281171,77,-20.3,44.28,31.53,4.08
Bluff,0,AU,1551281172,64,-23.58,149.07,22.25,4.98
ChengDe,0,CN,1551281172,65,40.97,117.93,-6.52,1.11
Opuwo,80,NA,1551281172,40,-18.06,13.84,29.53,1.88
Half Moon Bay,90,US,1551281165,93,37.46,-122.43,13.33,3.6
Bredasdorp,80,ZA,1551280565,31,-34.53,20.04,25.0,7.2
Yellowknife,90,CA,1551279600,72,62.45,-114.38,-11.0,6.2
Vestmannaeyjar,40,IS,1551279600,70,63.44,-20.27,7.0,7.7
